PLAYER,TEAM,MIN
Rodney Hood,LAC,709.4
Tony Bradley,CHI,549.1
Yuta Watanabe,TOR,445.5
Brook Lopez,MIL,298.4
Jared Butler,UTA,359.8
Matt Thomas,CHI,459.5
Sterling Brown,DAL,628.4
Joe Harris,BKN,422.7
Goran Dragic,BKN,497.5
Gorgui Dieng,ATL,371.2
Marquese Chriss,DAL,345.7
Sandro Mamukelashvili,MIL,407.0
Olivier Sarr,OKC,420.9
Patrick Williams,CHI,422.3
Elfrid Payton,PHX,549.1
Nick Richards,CHA,367.1
Admiral Schofield,ORL,468.8
James Bouknight,CHA,304.5
Kira Lewis Jr.,NOP,341.1
Wenyen Gabriel,LAL,358.8
Cody Zeller,POR,354.5
Nathan Knight,MIN,267.3
Josh Okogie,MIN,515.8
Kent Bazemore,LAL,544.6
Santi Aldama,MEM,359.8
Juancho Hernangomez,UTA,444.6
Jarrett Culver,MEM,338.2
Markieff Morris,MIA,298.3
Enes Freedom,BOS,411.4
Elijah Hughes,POR,434.5
Markus Howard,DEN,176.5
Andre Iguodala,GSW,602.8
Isaiah Livers,DET,383.3
Killian Tillie,MEM,460.6
Paul Reed,PHI,302.5
Paul Millsap,PHI,375.7
Dylan Windler,CLE,459.2
Ish Wainright,PHX,358.7
Kris Dunn,POR,336.3
David Duke Jr.,BKN,341.1
Jaylen Hoard,OKC,239.6
Justin Anderson,IND,315.9
Gary Clark,NOP,378.2
Victor Oladipo,MIA,173.1
Boban Marjanovic,DAL,127.9
Semi Ojeleye,LAC,405.8
P.J. Dozier,DEN,340.5
Trevor Ariza,LAL,462.3
Frank Kaminsky,PHX,180.9
Keljin Blevins,POR,349.4
Kevin Knox II,ATL,222.5
Reggie Perry,POR,187.3
Jericho Sims,NYK,555.0
Michael Porter Jr.,DEN,265.0
Miles McBride,NYK,372.2
Bruno Fernando,HOU,152.6
Georgios Kalaitzakis,OKC,213.5
Nerlens Noel,NYK,562.0
Brad Wanamaker,WAS,319.6
Jake Layman,MIN,230.6
Justin Champagnie,TOR,280.8
Lindell Wigginton,MIL,199.1
Skylar Mays,ATL,219.9
Udoka Azubuike,UTA,194.9
Braxton Key,DET,197.2
Justin Robinson,DET,303.7
Daishen Nix,HOU,261.4
KZ Okpala,MIA,244.1
Greg Monroe,MIN,194.8
Kyle Guy,MIA,185.7
Malcolm Hill,CHI,212.1
Charles Bassey,PHI,167.9
Denzel Valentine,UTA,222.0
Mychal Mulder,MIA,239.6
Chris Chiozza,GSW,371.9
JT Thor,CHA,261.9
Tyler Cook,CHI,199.6
Sam Hauser,BOS,157.6
Vlatko Cancar,DEN,176.3
Joe Wieskamp,SAS,205.1
Jahmi'us Ramsey,SAC,133.9
Alfonzo McKinnie,CHI,206.3
Xavier Moon,LAC,137.4
Mamadi Diakite,OKC,187.7
Jabari Parker,BOS,112.5
Cassius Stanley,DET,155.0
Jalen Johnson,ATL,120.4
Javonte Smart,MIA,199.9
Devin Cannady,ORL,144.5
Hassani Gravett,ORL,171.1
Jamorko Pickett,DET,176.5
Leandro Bolmaro,MIN,240.9
Jay Scrubb,LAC,121.4
Theo Pinson,DAL,148.1
Usman Garuba,HOU,239.2
Devontae Cacok,SAS,121.0
Louis King,SAC,103.6
Neemias Queta,SAC,119.6
Zavier Simpson,OKC,174.1
Haywood Highsmith,MIA,163.3
Trevelin Queen,HOU,74.4
Alize Johnson,NOP,167.2
Kevin Pangos,CLE,166.0
Tim Frazier,CLE,207.6
Jared Harper,NOP,42.9
Didi Louzada,POR,129.4
Abdel Nader,PHX,145.2
Willie Cauley-Stein,PHI,182.8
Bol Bol,ORL,80.8
Brandon Knight,DAL,64.5
Melvin Frazier Jr.,OKC,119.6
Udonis Haslem,MIA,83.2
Chaundee Brown Jr.,ATL,103.7
Paul Watson,OKC,156.2
Charlie Brown Jr.,PHI,177.7
D.J. Wilson,TOR,54.1
Luke Kornet,BOS,103.3
Quinndary Weatherspoon,GSW,73.4
Devon Dotson,CHI,85.2
James Ennis III,DEN,55.6
Ed Davis,CLE,201.4
Mason Jones,LAL,50.6
BJ Johnson,ORL,64.6
Chris Silva,MIA,91.2
Sam Merrill,MEM,57.8
Cameron Oliver,ATL,43.3
Carsen Edwards,DET,79.2
Kai Jones,CHA,62.7
Wes Iwundu,ATL,82.2
Brodric Thomas,BOS,59.9
Freddie Gillespie,ORL,118.7
Malik Fitts,BOS,62.8
Rayjon Tucker,MIL,70.8
Isaiah Todd,WAS,74.1
Vernon Carey Jr.,WAS,44.1
Derrick Walton Jr.,DET,108.2
Jeff Dowtin,ORL,108.0
Gabriel Deck,OKC,55.6
Nik Stauskas,BOS,38.8
